,citycode,SO2,NO2,PM10,CO,O3_8,PM25,airpressure,maxtemp,minhumidity,date,day_sin,day_cos,target
0,110000,-1.2195312490266865,-1.3785427262958025,-1.0978191239826411,-1.7649107951366427,-1.0982797593111728,-1.3605890708253416,0.8753577960660188,-1.9761873523991111,-1.7481249322855588,2020-04-01,-0.20129852008866336,0.9795299412524938,16
1,110000,-1.0969759238982222,-0.5879065056372134,-0.8167458141660724,-1.4565762178911488,-1.0982797593111728,-0.9912346955551513,0.8133049415150697,-1.1866039957465346,-1.844986735921434,2020-04-02,-7.347880794884119e-16,1.0,14
2,110000,-1.2195312490266865,-0.4297792615054955,-0.7735037665019849,-1.4565762178911488,-0.9040400057348993,-1.09676451706092,0.7556844337177585,-0.44851520583216925,-1.7965558341034964,2020-04-03,0.20129852008866195,0.9795299412524942,23
3,110000,-1.0969759238982222,-1.2994791042299436,1.7777770456791777,-1.4565762178911488,-0.882457810893091,-0.6218803202849609,0.9174650902255915,-1.3754174071199765,-1.5059704231958706,2020-04-04,0.3943558551133195,0.9189578116202303,30
4,110000,-0.8518652736412935,0.12366609295551693,0.3507894727642901,-1.1482416406456548,-0.7313824470004338,-0.2525259450147705,0.8797901428196591,-1.6328902408110342,-1.5059704231958706,2020-04-05,0.5712682150947923,0.8207634412072763,62
5,110000,-0.6067546233843648,1.5468112901409774,1.0859042830537777,-0.5315724861546672,-0.23499196563884553,1.4359511990775284,0.6891992324131692,-0.7746474618408421,-1.2638159141061822,2020-04-06,0.7247927872291193,0.6889669190756872,45
6,110000,-0.8518652736412935,0.5189842032848115,0.6751048302449464,-0.5315724861546672,-0.9687865902603238,0.5389477162784947,0.7379550467031999,-1.6328902408110342,-1.3606777177420577,2020-04-07,0.84864425749475,0.5289640103269639,21
7,110000,-0.8518652736412935,0.12366609295551693,-0.2545991945329349,-0.8399070634001611,-1.1414441489947893,-0.7274101417907296,0.7955755545005111,-2.1821656193519576,-1.3606777177420577,2020-04-08,0.9377521321470808,0.3473052528448195,34
8,110000,-1.0969759238982222,-0.82509737183479,-0.5356725043495036,-0.8399070634001611,-0.8177112263676665,-0.041466302003233126,0.8930871830805749,-2.6112870088370537,-1.021661405016494,2020-04-09,0.9884683243281114,0.15142777750457675,39
9,110000,-1.0969759238982222,-0.27165201737377764,-0.4708094328533724,-0.8399070634001611,-0.25657416048065373,0.2223582517611886,0.9396268239937905,-1.8045387966050728,-1.2153850122882446,2020-04-10,0.9987165071710529,-0.050649168838711685,20
10,110000,-1.2195312490266865,-0.82509737183479,-0.7302617188378975,-1.4565762178911488,-0.7313824470004338,-0.780175052543614,0.8221696350223479,-0.8089771729996502,-1.844986735921434,2020-04-11,0.9680771188662048,-0.25065253225871864,17
11,110000,-1.0969759238982222,-1.2204154821640847,-0.4275673851892849,-1.4565762178911488,-0.6666358624750092,-0.938469784802267,0.74017122008002,-0.4141854946733617,-1.844986735921434,2020-04-12,0.8978045395707429,-0.44039415155763173,26
12,110000,-1.0969759238982222,0.3608569591530937,-0.10325202770862865,-1.1482416406456548,-0.6666358624750092,-0.46358558802630784,0.6891992324131692,-0.17387751656170752,-1.844986735921434,2020-04-13,0.7907757369376988,-0.6121059825476627,66
13,110000,-0.48419929825590047,1.3886840460092595,0.6534838064129026,-0.5315724861546672,0.6282958280334818,1.647010842089066,0.5451479629198923,-0.2768666500381308,-1.3606777177420577,2020-04-14,0.6513724827222231,-0.7587581226927901,63
14,110000,-0.7293099485128292,0.20272971502137585,0.4588945919245089,-0.8399070634001611,0.3908916847735918,1.488716109830413,0.4830951083689408,-0.6201637616262077,-0.8763686995626812,2020-04-15,0.4853019625310829,-0.8743466161445811,23
15,120000,-0.3616439731274361,0.12366609295551693,-0.40594636135724116,-0.2232379089091735,-1.1630263438365975,-0.5163504987791923,0.955140037631524,-2.0620116302961304,-1.7965558341034964,2020-04-01,-0.20129852008866336,0.9795299412524938,36
16,120000,-0.6067546233843648,0.04460247088965802,-0.2978412421970224,-0.5315724861546672,-0.990368785102132,0.06406351950253555,0.9086003967183135,-1.4612416850169958,-1.7965558341034964,2020-04-02,-7.347880794884119e-16,1.0,38
17,120000,-0.6067546233843648,0.3608569591530937,-0.3410832898611099,-0.2232379089091735,-0.7745468366840501,0.16959334100830425,0.8465475421673644,-0.6373286172056118,-1.844986735921434,2020-04-03,0.20129852008866195,0.9795299412524942,23
18,120000,-0.6067546233843648,-0.3507156394396366,2.534512879800709,-0.8399070634001611,-0.9687865902603238,-0.6218803202849609,1.0127605454288378,-1.5813956740728232,-1.4091086195599953,2020-04-04,0.3943558551133195,0.9189578116202303,29
19,120000,0.741353953028743,1.1514931798116828,0.2643053774361151,-0.2232379089091735,-0.515560498582352,-0.30529085576765486,0.9662209045156221,-1.4269119738581881,-1.6028322268317459,2020-04-05,0.5712682150947923,0.8207634412072763,84
20,120000,0.12857732738642125,2.10025664460199,1.756156021847134,0.7017658228273083,0.1319053466718936,2.596779235640984,0.7800623408627751,-0.8261420285790537,-0.634214190472993,2020-04-06,0.7247927872291193,0.6889669190756872,39
21,120000,-0.48419929825590047,0.6771114474165294,0.37241049659633385,-0.2232379089091735,-1.227772928362022,0.2223582517611886,0.824385808399168,-1.5813956740728232,-1.2153850122882446,2020-04-07,0.84864425749475,0.5289640103269639,24
22,120000,0.4962433027718143,1.3886840460092595,-0.1248730515406724,0.7017658228273083,-1.1630263438365975,-0.5691154095320765,0.8687092759355609,-2.027681919137323,-1.5544013250138082,2020-04-08,0.9377521321470808,0.3473052528448195,22
